donor_id,UMAP_1,UMAP_2,SCLC_subtype__categorical
S00938,0.584574158365528,0.906186575690905,Undefined
S02194,2.74354537862043,-1.95880580445131,SCLC-A
S00472,3.06140658544997,-1.99405026932557,Undefined
S00833,0.323881561929981,0.936189408103625,Undefined
S02244,-0.877388779943188,-2.18220019837221,SCLC-A
S01366,-2.04182702762385,1.90081107119719,SCLC-A
S01542,-2.62199908954402,0.617948765556017,Undefined
S02293,-1.49596959811946,-2.13964248200258,SCLC-N
S02294,-2.76402456027766,0.941329951087634,SCLC-N
S02404,-1.74903852206965,-2.05430770417055,Undefined
S00842,1.25196438568334,-0.680852656563123,Undefined
S01453,-2.1172545598199,0.229653830329577,Undefined
S02295,0.016971285517017,-0.363853697975477,SCLC-A
S02296,-1.04054576617976,0.101335043708483,SCLC-P
S02243,1.54008596676091,-0.716593985756238,SCLC-A
S01023,0.0659798933813969,-2.02028775711854,Undefined
S00825,-1.79037362796565,2.44955825308959,SCLC-A
S00932,0.232905085260669,-0.316700463493665,Undefined
S02352,-0.370421712224682,1.64096283415953,Undefined
S02234,2.38983660476903,-1.08158040543397,Undefined
S00050,2.43851428764562,-1.81794620056947,Undefined
S02139,1.45396190422277,-0.096691613396009,SCLC-N
S02353,1.02556174534063,3.28907864789168,aSCLC(Geroge et al)
S02344,-0.910138432805737,-1.61521029969056,Undefined
S02249,1.06615155475835,-1.78482270737489,SCLC-A
S02291,-2.65206605655452,0.207194561759631,SCLC-A
S02401,-1.11614162189265,-1.1676795532306,Undefined
S00829,-1.46559364063044,2.10849737624327,SCLC-P
S01728,1.09592383640508,0.529284949103991,Undefined
S01873,-0.225447003667553,0.152714724342028,SCLC-N
S00022,0.984425718958179,-0.586903338630994,SCLC-A
S01861,3.19154438662032,-1.83635497589906,SCLC-A
S00832,-0.405953471486767,-0.41334176560243,SCLC-A
S02350,0.955601866419117,-0.389230971535047,Undefined
S01022,-1.23298961383601,2.105306143562,Undefined
S02403,1.65490644710759,0.255985970298449,Undefined
S01864,-0.311106030767163,-2.12356925507387,SCLC-A
A02,1.0157381846259,2.71071511010329,aSCLC(Natasha et al)
A12,0.841004545862476,2.87863647441069,aSCLC(Natasha et al)
A15,0.897828753168384,3.1047128389279,aSCLC(Natasha et al)
A08,0.741607840235035,2.82307487229506,aSCLC(Natasha et al)
A17,1.15619128483037,2.61828255156676,aSCLC(Natasha et al)
A01,1.19756179588536,2.1869802425305,aSCLC(Natasha et al)
A07,0.793625528986255,2.27144920329253,aSCLC(Natasha et al)
A03,1.26585369842748,2.88661497334639,aSCLC(Natasha et al)
A16,0.914628918344776,2.40228616694609,aSCLC(Natasha et al)
A14,0.604810173685352,2.40283774832884,aSCLC(Natasha et al)
A20,0.685312922174732,2.01158034304778,aSCLC(Natasha et al)
